hospital_name,state,total_performance_score,national_average
COAST PLAZA HOSPITAL,CA,0.0,30.884651504865353
COVENANT HEALTH HOBBS HOSPITAL,NM,0.0,30.884651504865353
EAST LOS ANGELES DOCTORS HOSPITAL,CA,4.0,30.884651504865353
HUMBOLDT PARK HEALTH,IL,4.25,30.884651504865353
CROZER CHESTER MEDICAL CENTER,PA,4.5,30.884651504865353
CARLE HEALTH PROCTOR HOSPITAL,IL,5.416666666667,30.884651504865353
BANNER BAYWOOD MEDICAL CENTER,AZ,6.25,30.884651504865353
AFFILIATE OF VITRUVIAN HEALTH,TN,6.583333333333,30.884651504865353
VOLUNTEER COMMUNITY HOSPITAL,TN,6.666666666667,30.884651504865353
VICTOR VALLEY GLOBAL MEDICAL CENTER,CA,7.0,30.884651504865353
UVA HEALTH CULPEPER MEDICAL CENTER,VA,7.0,30.884651504865353
HENDRICK MEDICAL CENTER BROWNWOOD,TX,7.333333333333,30.884651504865353
THE HOSPITALS OF PROVIDENCE - EAST CAMPUS,TX,7.416666666667,30.884651504865353
ALBANY MEDICAL CENTER HOSPITAL,NY,7.5,30.884651504865353
PROMEDICA MONROE REGIONAL HOSPITAL,MI,7.666666666667,30.884651504865353
MIDLAND MEMORIAL HOSPITAL,TX,8.166666666667,30.884651504865353
ABRAZO WEST CAMPUS,AZ,8.25,30.884651504865353
CHI ST JOSEPH HEALTH REGIONAL HOSPITAL,TX,8.583333333333,30.884651504865353
UNIVERSITY OF LOUISVILLE HOSPITAL,KY,8.666666666667,30.884651504865353
BANNER DESERT MEDICAL CENTER,AZ,9.0,30.884651504865353
MERCYONE DES MOINES MEDICAL CENTER,IA,9.083333333333,30.884651504865353
KINGS COUNTY HOSPITAL CENTER,NY,9.25,30.884651504865353
JOHNSON CITY MEDICAL CENTER,TN,9.416666666667,30.884651504865353
MOUNT CARMEL EAST & WEST,OH,9.583333333333,30.884651504865353
GENESIS HLTH SYSTEM DBA GENESIS MDL CTR-ILLINI,IL,9.625,30.884651504865353
SOUTHWESTERN MEDICAL CENTER,OK,9.833333333333,30.884651504865353
HALIFAX HEALTH /UF HEALTH MEDICAL CENTER OF DELTON,FL,10.0,30.884651504865353
STONEWALL JACKSON MEMORIAL HOSPITAL,WV,10.25,30.884651504865353
HUNTINGTON BEACH HOSPITAL,CA,10.666666666667,30.884651504865353
ADENA REGIONAL MEDICAL CENTER,OH,10.833333333333,30.884651504865353
THE MEDICAL CENTER (BOWLING GREEN),KY,10.916666666667,30.884651504865353
MOUNT CARMEL ST ANN'S,OH,11.0,30.884651504865353
HEYWOOD HOSPITAL -,MA,11.125,30.884651504865353
WILSON N JONES REGIONAL MEDICAL CENTER,TX,11.125,30.884651504865353
JENNIE STUART MEDICAL CENTER,KY,11.25,30.884651504865353
"WEIRTON MEDICAL CENTER, INC",WV,11.291666666667,30.884651504865353
SSM ST JOSEPH HOSPITAL WEST,MO,11.333333333333,30.884651504865353
ALTRU HOSPITAL,ND,11.333333333333,30.884651504865353
WELLMONT HOLSTON VALLEY MEDICAL CENTER,TN,11.333333333333,30.884651504865353
YUMA REGIONAL MEDICAL CENTER,AZ,11.416666666667,30.884651504865353
SOUTHERN REGIONAL MEDICAL CENTER,GA,11.5,30.884651504865353
SWEETWATER HOSPITAL ASSOCIATION,TN,11.583333333333,30.884651504865353
BEAUMONT HOSPITAL - TAYLOR,MI,11.625,30.884651504865353
ORANGE COUNTY GLOBAL MEDICAL CENTER,CA,11.666666666667,30.884651504865353
MEMORIAL HOSPITAL OF CARBONDALE,IL,11.666666666667,30.884651504865353
BRIGHAM CITY COMMUNITY HOSPITAL,UT,11.666666666667,30.884651504865353
"WELLSTAR MCG HEALTH, AFFILIATED WITH MED COL",GA,11.916666666667,30.884651504865353
BOCA RATON REGIONAL HOSPITAL,FL,12.0,30.884651504865353
HILTON HEAD REGIONAL MEDICAL CENTER,SC,12.041666666667,30.884651504865353
CAPITAL HEALTH REGIONAL MEDICAL CENTER,NJ,12.166666666667,30.884651504865353
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,NJ,12.333333333333,30.884651504865353
MONTEFIORE MOUNT VERNON HOSPITAL,NY,12.333333333333,30.884651504865353
ARCHBOLD MEMORIAL HOSPITAL,GA,12.416666666667,30.884651504865353
TRINITY HEALTH OAKLAND HOSPITAL,MI,12.416666666667,30.884651504865353
PIEDMONT AUGUSTA HOSPITAL,GA,12.5,30.884651504865353
CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,PA,12.5,30.884651504865353
ST MARY'S MEDICAL CENTER,FL,12.583333333333,30.884651504865353
BAYSTATE MEDICAL CENTER,MA,12.75,30.884651504865353
PARIS REGIONAL MEDICAL CENTER,TX,12.75,30.884651504865353
DOCTORS MEDICAL CENTER,CA,12.833333333333,30.884651504865353
LOUIS A WEISS MEMORIAL HOSPITAL,IL,12.875,30.884651504865353
CASTLEVIEW HOSPITAL,UT,12.875,30.884651504865353
