hospital_name,state,total_performance_score
COAST PLAZA HOSPITAL,CA,0.0
COVENANT HEALTH HOBBS HOSPITAL,NM,0.0
EAST LOS ANGELES DOCTORS HOSPITAL,CA,4.0
HUMBOLDT PARK HEALTH,IL,4.25
CROZER CHESTER MEDICAL CENTER,PA,4.5
CARLE HEALTH PROCTOR HOSPITAL,IL,5.416666666667
BANNER BAYWOOD MEDICAL CENTER,AZ,6.25
AFFILIATE OF VITRUVIAN HEALTH,TN,6.583333333333
VOLUNTEER COMMUNITY HOSPITAL,TN,6.666666666667
VICTOR VALLEY GLOBAL MEDICAL CENTER,CA,7.0
UVA HEALTH CULPEPER MEDICAL CENTER,VA,7.0
HENDRICK MEDICAL CENTER BROWNWOOD,TX,7.333333333333
THE HOSPITALS OF PROVIDENCE - EAST CAMPUS,TX,7.416666666667
ALBANY MEDICAL CENTER HOSPITAL,NY,7.5
PROMEDICA MONROE REGIONAL HOSPITAL,MI,7.666666666667
MIDLAND MEMORIAL HOSPITAL,TX,8.166666666667
ABRAZO WEST CAMPUS,AZ,8.25
CHI ST JOSEPH HEALTH REGIONAL HOSPITAL,TX,8.583333333333
UNIVERSITY OF LOUISVILLE HOSPITAL,KY,8.666666666667
BANNER DESERT MEDICAL CENTER,AZ,9.0
