hospital_name,state,total_performance_score,performance_quartile
ST CHARLES PARISH HOSPITAL,LA,94.666666666667,1
PHOENIX INDIAN MEDICAL CENTER,AZ,85.666666666667,1
ADVENTHEALTH MURRAY,GA,83.333333333333,1
MAYO CLINIC HEALTH SYSTEM - FAIRMONT,MN,77.833333333333,1
BANNER GOLDFIELD MEDICAL CENTER,AZ,75.333333333333,1
"STORMONT VAIL HEALTH FLINT HILLS, LLC",KS,73.333333333333,1
ST ANTHONY SUMMIT MEDICAL CENTER,CO,72.333333333333,1
NOVANT HEALTH MINT HILL MEDICAL CENTER,NC,72.0,1
UP HEALTH SYSTEM PORTAGE,MI,71.75,1
BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,TX,71.666666666667,1
ST JOHNS MEDICAL CENTER,WY,69.375,1
NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,GA,69.111111111111,1
SPRING VIEW HOSPITAL,KY,68.875,1
ST BERNARD PARISH HOSPITAL,LA,68.75,1
SANTIAM HOSPITAL & CLINICS,OR,68.666666666667,1
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,CA,68.444444444444,1
CAPE FEAR VALLEY HOKE HOSPITAL,NC,68.166666666667,1
BARTLETT REGIONAL HOSPITAL,AK,67.583333333333,1
CHICKASAW NATION MEDICAL CENTER,OK,67.583333333333,1
UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,TX,67.333333333333,1
AURORA MEDICAL CTR WASHINGTON COUNTY,WI,67.166666666667,1
SAUK PRAIRIE HOSPITAL,WI,66.333333333333,1
"BAILEY MEDICAL CENTER, LLC",OK,66.0,1
GRAND ITASCA CLINIC AND HOSPITAL,MN,65.75,1
AURORA MEDICAL CENTER SHEBOYGAN COUNTY,WI,65.541666666667,1
LEONARD J CHABERT MEDICAL CENTER,LA,65.416666666667,1
THREE RIVERS MEDICAL CENTER,KY,65.0,1
AURORA MEDICAL CENTER,WI,65.0,1
CHRISTUS OCHSNER LAKE AREA HOSPITAL,LA,64.333333333333,1
MEMORIAL HEALTH MEADOWS HOSPITAL,GA,64.125,1
MEMORIAL HOSPITAL,OH,63.916666666667,1
MERCY HOSPITAL LEBANON,MO,63.75,1
KAISER FOUNDATION HOSPITAL - SAN DIEGO,CA,63.333333333333,1
SCRIPPS GREEN HOSPITAL,CA,62.666666666667,1
UNIVERSITY OF MICHIGAN HEALTH-SPARROW CARSON,MI,62.666666666667,1
ADIRONDACK MEDICAL CENTER - SARANAC LAKE,NY,62.625,1
ST LUKE'S HOSPITAL - CARBON CAMPUS,PA,62.375,1
CITY OF HOPE CANCER CENTER PHOENIX,AZ,62.333333333333,1
ASPIRUS DIVINE SAVIOR HOSPITAL,WI,62.25,1
SENTARA HALIFAX REGIONAL HOSPITAL,VA,62.166666666667,1
ASHLEY REGIONAL MEDICAL CENTER,UT,62.0,1
FRISBIE MEMORIAL HOSPITAL,NH,61.833333333333,1
GROVE CITY MEDICAL CENTER,PA,61.5,1
AURORA MEDICAL CTR MANITOWOC COUNTY,WI,61.5,1
L A DOWNTOWN MEDICAL CENTER,CA,61.111111111111,1
TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,60.666666666667,1
ST LUKE'S MINERS MEMORIAL HOSPITAL,PA,60.25,1
GEISINGER MEDICAL CENTER MUNCY,PA,60.25,1
RIDGEVIEW MEDICAL CENTER,MN,60.083333333333,1
ADVENTHEALTH PALM COAST PARKWAY,FL,60.0,1
MOUNTAIN VIEW HOSPITAL,ID,60.0,1
MAPLE GROVE HOSPITAL,MN,60.0,1
TRINITY HEALTH GRAND HAVEN HOSPITAL,MI,59.333333333333,1
LAKES REGIONAL HEALTHCARE,IA,59.25,1
MAYO CLINIC HEALTH SYSTEM IN RED WING,MN,59.25,1
SAMARITAN ALBANY GENERAL HOSPITAL,OR,59.208333333333,1
ESSENTIA HEALTH VIRGINIA,MN,58.888888888889,1
SPENCER MUNICIPAL HOSPITAL,IA,58.625,1
METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,MS,58.625,1
KETTERING HEALTH TROY,OH,58.583333333333,1
INTERMOUNTAIN HEALTH LAYTON HOSPITAL,UT,58.5,1
KAISER FOUNDATION HOSPITAL - FREMONT,CA,58.333333333333,1
BOTHWELL REGIONAL HEALTH CENTER,MO,58.166666666667,1
HCA FLORIDA TWIN CITIES HOSPITAL,FL,58.083333333333,1
WEST VALLEY MEDICAL CENTER,ID,58.0,1
MCLEOD MEDICAL CENTER - DILLON,SC,58.0,1
MILE BLUFF MEDICAL CENTER,WI,58.0,1
MAYO CLINIC HEALTH SYSTEM-FRANCISCAN MEDICAL CENTER INC,WI,57.583333333333,1
SSM HEALTH ST AGNES HOSPITAL-FOND DU LAC,WI,57.166666666667,1
KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM,CA,57.111111111111,1
MAYO CLINIC HOSPITAL ROCHESTER,MN,57.083333333333,1
SUSAN B ALLEN MEMORIAL HOSPITAL,KS,57.0,1
BAYLOR SCOTT & WHITE HEART & VASCULAR HOSPITAL - DALLAS,TX,56.666666666667,1
BUCHANAN GENERAL HOSPITAL,VA,56.5,1
CENTRA BEDFORD MEMORIAL HOSPITAL,VA,56.416666666667,1
BRIGHAM AND WOMEN FAULKNER HOSPITAL,MA,56.25,1
PHOEBE SUMTER MEDICAL CENTER,GA,56.083333333333,1
MID-COLUMBIA MEDICAL CENTER,OR,55.833333333333,1
COREWELL HEALTH ZEELAND HOSPITAL,MI,55.75,1
CHELSEA HOSPITAL,MI,55.75,1
NORTHFIELD HOSPITAL,MN,55.75,1
SSM HEALTH ST CLARE HOSPITAL - BARABOO,WI,55.75,1
CHAMBERS MEMORIAL HOSPITAL,AR,55.444444444444,1
ST LUKE'S HOSPITAL - UPPER BUCKS CAMPUS,PA,55.375,1
PRESBYTERIAN ESPANOLA HOSPITAL,NM,55.333333333333,1
CHI HEALTH MIDLANDS,NE,55.25,1
PROVIDENCE NEWBERG MEDICAL CENTER,OR,55.083333333333,1
SHARP CORONADO HOSPITAL AND HLTHCR CTR,CA,54.833333333333,1
MAT-SU REGIONAL MEDICAL CENTER,AK,54.666666666667,1
THE MONROE CLINIC,WI,54.625,1
UNIVERSITY OF KANSAS HOSPITAL,KS,54.583333333333,1
ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,MN,54.5,1
KAISER FOUNDATION HOSPITAL,HI,54.333333333333,1
KAISER FOUNDATION HOSPITAL - REDWOOD CITY,CA,54.111111111111,1
JACK HUGHSTON MEMORIAL HOSPITAL,AL,54.0,1
ST ELIZABETH COMMUNITY HOSPITAL,CA,54.0,1
