state,avg_score,hospital_count
AK,44.51,8
MN,43.81,41
WI,43.57,54
HI,40.91,11
OR,40.13,32
WY,39.72,6
VT,38.65,6
UT,37.92,29
ME,37.53,11
MI,33.57,63
VA,33.48,68
CO,33.47,42
KS,33.38,30
NH,33.37,13
MT,33.36,10
IA,33.13,27
LA,32.9,50
NC,32.71,73
SD,32.63,11
NM,32.49,19
ID,32.35,12
WA,31.79,43
OK,31.23,42
GA,31.07,78
KY,31.05,56
OH,30.65,106
CA,30.43,250
NE,30.07,19
MO,30.07,59
MA,30.06,48
TX,29.94,179
CT,29.71,23
ND,29.58,6
MS,29.55,39
NY,29.44,113
PA,29.26,118
AZ,29.03,52
AL,28.52,48
IL,28.2,89
SC,27.99,47
FL,27.88,154
RI,27.87,7
IN,27.64,64
TN,26.71,62
NV,26.46,18
DC,26.42,5
AR,26.25,31
NJ,25.61,57
WV,24.0,20
DE,21.09,6
