hospital_name,state,total_performance_score,state_rank
BARTLETT REGIONAL HOSPITAL,AK,67.583333333333,1
MAT-SU REGIONAL MEDICAL CENTER,AK,54.666666666667,2
YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,52.25,3
CENTRAL PENINSULA GENERAL HOSPITAL,AK,46.0,4
ALASKA NATIVE MEDICAL CENTER,AK,40.166666666667,5
FAIRBANKS MEMORIAL HOSPITAL,AK,36.75,6
ALASKA REGIONAL HOSPITAL,AK,33.25,7
PROVIDENCE ALASKA MEDICAL CENTER,AK,25.416666666667,8
JACK HUGHSTON MEMORIAL HOSPITAL,AL,54.0,1
TROY REGIONAL MEDICAL CENTER,AL,42.0,2
NORTH BALDWIN INFIRMARY,AL,40.5,3
EVERGREEN MEDICAL CENTER,AL,40.111111111111,4
MEDICAL CENTER ENTERPRISE,AL,39.75,5
HIGHLANDS MEDICAL CENTER,AL,38.5,6
BALDWIN HEALTH,AL,37.416666666667,7
COOSA VALLEY MEDICAL CENTER,AL,37.416666666667,7
FAYETTE MEDICAL CENTER,AL,34.333333333333,9
WHITFIELD REGIONAL HOSPITAL,AL,33.5,10
HELEN KELLER HOSPITAL,AL,33.333333333333,11
ATHENS LIMESTONE HOSPITAL,AL,32.875,12
FLOWERS HOSPITAL,AL,32.583333333333,13
CITIZENS BAPTIST MEDICAL CENTER,AL,32.5,14
SOUTHEAST HEALTH MEDICAL CENTER,AL,32.166666666667,15
ANDALUSIA HEALTH,AL,31.375,16
BAPTIST MEDICAL CENTER EAST,AL,31.333333333333,17
WALKER BAPTIST MEDICAL CENTER,AL,31.0,18
JACKSON HOSPITAL & CLINIC INC,AL,30.916666666667,19
DEKALB REGIONAL MEDICAL CENTER,AL,30.583333333333,20
PRATTVILLE BAPTIST HOSPITAL,AL,30.333333333333,21
THOMAS HOSPITAL,AL,30.083333333333,22
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,30.0,23
LAKELAND COMMUNITY HOSPITAL,AL,29.888888888889,24
BAPTIST MEDICAL CENTER SOUTH,AL,29.083333333333,25
UNIVERSITY OF ALABAMA HOSPITAL,AL,28.75,26
RIVERVIEW REGIONAL MEDICAL CENTER,AL,27.75,27
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,27.416666666667,28
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,27.25,29
NORTH ALABAMA MEDICAL CENTER,AL,25.833333333333,30
RUSSELL MEDICAL CENTER,AL,25.583333333333,31
GADSDEN REGIONAL MEDICAL CENTER,AL,24.666666666667,32
CRESTWOOD MEDICAL CENTER,AL,24.416666666667,33
