hospital_name,state,total_performance_score
ST CHARLES PARISH HOSPITAL,LA,94.666666666667
PHOENIX INDIAN MEDICAL CENTER,AZ,85.666666666667
ADVENTHEALTH MURRAY,GA,83.333333333333
MAYO CLINIC HEALTH SYSTEM - FAIRMONT,MN,77.833333333333
BANNER GOLDFIELD MEDICAL CENTER,AZ,75.333333333333
"STORMONT VAIL HEALTH FLINT HILLS, LLC",KS,73.333333333333
ST ANTHONY SUMMIT MEDICAL CENTER,CO,72.333333333333
NOVANT HEALTH MINT HILL MEDICAL CENTER,NC,72.0
UP HEALTH SYSTEM PORTAGE,MI,71.75
BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,TX,71.666666666667
ST JOHNS MEDICAL CENTER,WY,69.375
NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,GA,69.111111111111
SPRING VIEW HOSPITAL,KY,68.875
ST BERNARD PARISH HOSPITAL,LA,68.75
SANTIAM HOSPITAL & CLINICS,OR,68.666666666667
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,CA,68.444444444444
CAPE FEAR VALLEY HOKE HOSPITAL,NC,68.166666666667
BARTLETT REGIONAL HOSPITAL,AK,67.583333333333
CHICKASAW NATION MEDICAL CENTER,OK,67.583333333333
UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,TX,67.333333333333
